"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"32895093972","https://ae04.alicdn.com/kf/HTB1fZB8xsuYBuNkSmRyq6AA3pXaG.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/50196388447.mp4","10pcs/set Available Eyebrow Pencil Cosmetics for Makeup Tint Waterproof Microblading Pen Brown Eye Brow Natural Beauty Free Ship","USD 12.44","USD 7.46","40%","USD","7","USD 0.52","1739","94.8%","https://s.click.aliexpress.com/e/_DlHYBfH",,,,,,
"4001226942327","https://ae04.alicdn.com/kf/H1f6cd03828b146d88df298674e5eef1dX.jpg",,"12Pcs/set Reusable Eyebrow Stencil Set Eye Brow DIY Drawing Guide Styling Shaping Grooming Template Card Easy Beauty Makeup Tool","USD 2.32","USD 1.37","41%","USD","8.0","USD 0.11","187","98.3%","https://s.click.aliexpress.com/e/_DmsI327",,,,,,
"1005004337596132","https://ae04.alicdn.com/kf/Sc238853d16f14029a35072e7990fd1d0k.jpg",,"Refillable Travel Bottles Set Package Cosmetics Bottles Plastic Pressing Spray Bottle Makeup Tools Kit For Travel Vaporizer","USD 6.07","USD 3.64","40%","USD","8.0","USD 0.29","139","96.7%","https://s.click.aliexpress.com/e/_DdPH3Eb",,,,,,
"1005002446712625","https://ae04.alicdn.com/kf/S5cae3f195afd40a3b03f25ba09d59457T.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304980925529.mp4","2022 Slicone Makeup Brush Cleaner Cleaning Pad Cosmetic Scrubber Board Clean Mat Foundation Washing Pad Professional Makeup Tool","USD 2.20","USD 1.41","36%","USD","10.0","USD 0.14","325","95.1%","https://s.click.aliexpress.com/e/_DmOKrn5",,,,,,
"1005002553519703","https://ae04.alicdn.com/kf/Hfbb1eb6753564573a655c2c878daa89ca.jpg",,"Makeup Brushes Set Foundation Blending Blush Concealer Eyebrow Face Powder Brush With Pouch for Women Girls (Bronze)","USD 6.51","USD 4.95","24%","USD","22.0","USD 1.09","150","92.9%","https://s.click.aliexpress.com/e/_DexM6af",,,,,,
"1005004328075039","https://ae04.alicdn.com/kf/S57a70f2046134d45833fe7a044f8472cI.jpg",,"Makeup Brush Set 4 Pcs Bethy Beauty Eye Shadow Brow Goat Hair Synthetic Highlight Blush Makeup Tools Brochas Maquillaje","USD 4.98","USD 4.73","5%","USD","7","USD 0.33","274","98.3%","https://s.click.aliexpress.com/e/_DBw2gQf",,,,,,
"1005003984729830","https://ae04.alicdn.com/kf/S48a7bef4f94841c19e912ab5adda2b74Q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352863253913.mp4","LAIKOU 8Pcs Sakura Face Skin Care Set Moisturizing Nourishing Serum Soothing Whitening Repairing Anti-Wrinkle Beauty Makeup Set","USD 66.63","USD 19.32","71%","USD","7","USD 1.35","284","95.1%","https://s.click.aliexpress.com/e/_Dk2Qr9h",,,,,,
"1005004227246990","https://ae04.alicdn.com/kf/Sa73bd862626646a2a5b2561fbb6907cfo.jpg",,"KOSMETYKI 10PCS Crystal Makeup Brushes Set Loose Powder Blush Contouring Foundation Eye Shadow Concealer Beauty Tools Full Set","USD 4.23","USD 3.01","29%","USD","15.0","USD 0.45","51","100.0%","https://s.click.aliexpress.com/e/_DmnoOWB",,,,,,
"1005003302845475","https://ae04.alicdn.com/kf/Saef43b74fcb8452180dc6858f578abceF.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/330669536210.mp4","ZOREYA 7/15pcs Black Makeup Brushes Set Eye Shadow Powder Foundation Concealer Cosmetic Brush Makeup Blending Beauty Tools","USD 8.38","USD 5.11","39%","USD","7","USD 0.36","1255","95.4%","https://s.click.aliexpress.com/e/_DDz4OM3",,,,,,
"1005004052052084","https://ae04.alicdn.com/kf/Sf4649b83b3cd47eaae1d13663da3e1bcX.jpg",,"10Pcs Eye Brush Mini Diamond Makeup Brush Set Eye Shadow Lip Eyebrow Brushes High Quality Professional Lip Eyeliner Tools","USD 8.44","USD 5.40","36%","USD","7","USD 0.38","42","66.7%","https://s.click.aliexpress.com/e/_DF4Eofh",,,,,,
